the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng,icon
0101000020E610000059EEF6CDE7CA52C089AED36AB6FA4340,0101000020110F0000A993039DCEEB5FC1127A6054098A5241,222,171945,Nw 19th/Parkway,yes,39.95869193,-75.17039823,trash
0101000020E6100000727A5519B0CA52C03DFA98D8EAFA4340,0101000020110F00008FD2E5FD6FEB5FC1F06E0B6C438A5241,223,171950,Nw 17th/Callowhill,yes,39.96029193,-75.16699823,trash
0101000020E6100000C42DF92A55C852C0FB842732E0044440,0101000020110F0000ED3E47DA6FE75FC1A18D3ACF4D955241,224,171953,Nw 5th/Chew,no,40.03809192,-75.13019823,trash
0101000020E6100000FFC17C80AFCA52C0AB183BF8F1F94340,0101000020110F0000D4C045FA6EEB5FC176DA31AC2F895241,225,171954,Sw 16th/Market,no,39.95269683,-75.16696179,trash
0101000020E6100000E521BA9179C952C03E91A9A244F94340,0101000020110F00000E2B9C8660E95FC11D5BECA36F885241,226,171955,Nw 4th/Walnut,no,39.94740709,-75.148045,trash
0101000020E6100000B4BF0ECCF8CA52C0679E7D242CFA4340,0101000020110F000095B1157AEBEB5FC150F0C61F70895241,227,171956,Nw 19th/JFK Boulevard,no,39.95447212,-75.17143537,trash
0101000020E61000009BE6217AE0CA52C08E53259F20FA4340,0101000020110F0000FB6BB92AC2EB5FC12F42135C63895241,228,171957,Sw 18th/JFK Boulevard,no,39.95412053,-75.16995099,trash
0101000020E610000028C117F665CB52C0018C5488EEF94340,0101000020110F000057D73CE7A4EC5FC138FF56DD2B895241,229,171959,Ne 23rd/Chestnut,no,39.95259194,-75.17809822,trash
0101000020E61000009442BDE210CA52C000D4852069F94340,0101000020110F0000F5C5528D61EA5FC18966331198885241,230,171960,Ne 10th/Walnut,no,39.94852072,-75.15728062,trash
0101000020E610000095CE79B939CB52C01576693FC0FA4340,0101000020110F000066733CC359EC5FC1039ECA38148A5241,231,171961,Se 22nd/Winter,no,39.95899193,-75.17539822,trash
0101000020E6100000A46C6CBCACC952C0DD1DD04051F94340,0101000020110F000045661070B7E95FC1211E649E7D885241,232,171962,Nw 6th/Walnut,no,39.94779215,-75.15116797,trash
0101000020E61000009D3BE8B48ACA52C0E589E0CD33FA4340,0101000020110F000035EC2A7A30EB5FC1CB52E39C78895241,233,171963,NE 15th and Arch Streets,no,39.95470594,-75.16471598,trash
0101000020E6100000B94FC71B4ACB52C0CE973CAF1FFA4340,0101000020110F0000F671AE9775EC5FC1574B455262895241,234,171964,Se 22nd/Market,no,39.95409193,-75.17639822,trash
0101000020E61000005BCBEAD446CB52C0F8C34D5D67FB4340,0101000020110F0000A77ACA0670EC5FC1C0BCA665CD8A5241,235,171965,Se 23rd/Spring Garden,no,39.96409193,-75.17619822,trash
0101000020E61000005BB7A4624DCB52C0B850210837F94340,0101000020110F00004FEB93287BEC5FC1089AE19160885241,236,171967,sw 21st/Pine,no,39.94699194,-75.17659823,trash
0101000020E61000005EE9AAB23FC952C009CD8F1632F94340,0101000020110F00004FA0BD39FEE85FC1E44CDB175B885241,237,171968,Sw 2nd/Walnut,no,39.94684107,-75.14451281,trash
0101000020E610000044B38F1AFDCA52C05F64C1D5E1F84340,0101000020110F0000E659CCCAF2EB5FC1E4A64C3002885241,238,171969,Se 18th/South,yes,39.94439194,-75.17169823,trash
0101000020E6100000A1A75CF053CB52C027897841EBF94340,0101000020110F00008AFD594A86EC5FC1B6D8F43B28895241,239,171970,Nw 22nd/Chestnut,yes,39.95249194,-75.17699822,trash
0101000020E6100000C8ABFCBDFECA52C046034E98D7F94340,0101000020110F000095253C93F5EB5FC11687AC7312895241,240,171971,Ne 19th/Chestnut,no,39.95189194,-75.17179823,trash
0101000020E610000023285EABFAC952C0EEB343B55EF94340,0101000020110F0000F022C0D03BEA5FC13E6F4A868C885241,241,171972,Sw 9th/Walnut,no,39.94820276,-75.15592465,trash
0101000020E610000078EC21EEA9C952C0E65B473B4BF94340,0101000020110F0000DF77F9ABB2E95FC1953BA0F276885241,242,171973,Se 6th/Walnut,yes,39.94760838,-75.15099672,trash
0101000020E61000000BBD023D42CA52C0C1173899B7F84340,0101000020110F0000BD98E761B5EA5FC118EA7C66D3875241,243,171975,Nw 11th/South,yes,39.94310298,-75.16029287,trash
0101000020E6100000462F988B40C952C00EE9CEB158FA4340,0101000020110F0000907A36AAFFE85FC121625C7CA1895241,244,171976,Sw 3rd/Vine,no,39.95583174,-75.14456453,trash
